"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
18,"ACER","Acer Therapeutics Inc.","Healthcare","Biotechnology","USA",19.62,,1.23,8.85%,81437
19,"ACET","Adicet Bio, Inc.","Healthcare","Biotechnology","USA",661.29,,16.28,2.26%,343645
20,"ACEV","ACE Convergence Acquisition Corp.","Financial","Shell Companies","USA",99.13,7.83,10.22,0.10%,11651
21,"ACHL","Achilles Therapeutics plc","Healthcare","Biotechnology","United Kingdom",81.72,,2.00,6.38%,9586
22,"ACHV","Achieve Life Sciences, Inc.","Healthcare","Biotechnology","Canada",22.83,,2.33,-4.12%,43213
23,"ACII","Atlas Crest Investment Corp. II","Financial","Shell Companies","USA",428.71,31.36,9.94,0.20%,351378
24,"ACIU","AC Immune SA","Healthcare","Biotechnology","Switzerland",238.42,,2.97,-0.17%,35452
25,"ACLX","Arcellx, Inc.","Healthcare","Biotechnology","USA",857.44,,20.09,3.72%,491032
26,"ACMR","ACM Research, Inc.","Technology","Semiconductor Equipment & Materials","USA",385.25,29.77,6.49,8.89%,1379334
27,"ACNB","ACNB Corporation","Financial","Banks - Regional","USA",290.23,11.25,34.80,1.75%,25854
28,"ACNT","Ascent Industries Co.","Basic Materials","Steel","USA",151.89,3.92,14.69,0.07%,3351
29,"ACP","Abrdn Income Credit Strategies Fund","Financial","Closed-End Fund - Debt","USA",155.74,3.00,6.28,1.78%,126123
30,"ACQR","Independence Holdings Corp.","Financial","Shell Companies","USA",542.17,37.48,9.97,0.05%,393
31,"ACQRU","Independence Holdings Corp.","Financial","Shell Companies","USA",542.13,76.54,9.95,0.00%,0
32,"ACR","ACRES Commercial Realty Corp.","Real Estate","REIT - Mortgage","USA",76.64,,8.87,1.84%,6877
33,"ACRE","Ares Commercial Real Estate Corporation","Real Estate","REIT - Mortgage","USA",632.59,10.61,11.78,4.90%,645829
34,"ACRO","Acropolis Infrastructure Acquisition Corp.","Financial","Shell Companies","USA",423.75,,9.82,0.05%,11320
35,"ACRS","Aclaris Therapeutics, Inc.","Healthcare","Biotechnology","USA",1098.74,,16.51,-2.19%,638015
36,"ACTG","Acacia Research Corporation","Industrials","Specialty Business Services","USA",141.95,4.39,3.87,3.48%,372543
37,"ACU","Acme United Corporation","Consumer Defensive","Household & Personal Products","USA",91.41,11.61,23.56,0.47%,6800
38,"ACV","Virtus Diversified Income & Convertible Fund","Financial","Asset Management","USA",201.25,,19.42,3.52%,30267
39,"ACXP","Acurx Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",36.11,,3.21,7.00%,11665
40,"ADCT","ADC Therapeutics SA","Healthcare","Biotechnology","Switzerland",350.10,,4.65,2.20%,162229
41,"ADER","26 Capital Acquisition Corp.","Financial","Shell Companies","USA",343.27,20.01,10.01,1.16%,993229
42,"ADES","Advanced Emissions Solutions, Inc.","Industrials","Pollution & Treatment Controls","USA",55.46,2.07,2.98,2.05%,34440
43,"ADEX","Adit EdTech Acquisition Corp.","Financial","Shell Companies","USA",343.33,231.43,9.95,0.12%,664264
44,"ADN","Advent Technologies Holdings, Inc.","Utilities","Utilities - Renewable","USA",115.85,,2.20,10.00%,751374
45,"ADOC","Edoc Acquisition Corp.","Financial","Shell Companies","USA",56.46,,10.34,0.00%,0
46,"ADSE","ADS-TEC Energy PLC","Industrials","Electrical Equipment & Parts","Ireland",265.60,,5.35,-3.19%,7293
47,"ADTX","Aditxt, Inc.","Healthcare","Biotechnology","USA",3.39,,3.00,-2.91%,624990
48,"AE","Adams Resources & Energy, Inc.","Energy","Oil & Gas Integrated","USA",137.64,10.60,31.21,-1.55%,744
49,"AEAC","Authentic Equity Acquisition Corp.","Financial","Shell Companies","USA",299.85,22.21,9.99,-0.05%,957
50,"AEF","Abrdn Emerging Markets Equity Income Fund Inc","Financial","Asset Management","United Kingdom",223.82,,4.41,0.92%,112256
51,"AEHR","Aehr Test Systems","Technology","Semiconductor Equipment & Materials","USA",536.12,66.47,21.67,-1.50%,2647392
52,"AERC","AeroClean Technologies, Inc.","Industrials","Pollution & Treatment Controls","USA",51.99,,3.48,-0.57%,221708
53,"AERI","Aerie Pharmaceuticals, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",749.78,,15.19,-0.07%,748399
54,"AESE","Allied Esports Entertainment Inc.","Communication Services","Entertainment","USA",47.97,,1.21,4.30%,98909
55,"AEY","ADDvantage Technologies Group, Inc.","Technology","Electronics & Computer Distribution","USA",29.93,,2.12,3.92%,50190
56,"AEYE","AudioEye, Inc.","Technology","Software - Application","USA",66.21,,5.87,10.34%,18527
57,"AEZS","Aeterna Zentaris Inc.","Healthcare","Biotechnology","USA",19.51,,4.16,6.94%,10532
58,"AFAC","Arena Fortify Acquisition Corp.","Financial","Shell Companies","USA",217.55,16.37,10.10,0.10%,134
59,"AFB","AllianceBernstein National Municipal Income Fund, Inc.","Financial","Closed-End Fund - Debt","USA",290.32,10.52,10.10,0.20%,71458
60,"AFBI","Affinity Bancshares, Inc.","Financial","Banks - Regional","USA",96.60,14.57,14.29,-0.98%,3717
61,"AFCG","AFC Gamma, Inc.","Real Estate","REIT - Specialty","USA",326.65,8.44,16.70,5.16%,177136
62,"AFRI","Forafric Global PLC","Consumer Defensive","Farm Products","United Kingdom",282.30,,10.75,-0.80%,11196
63,"AFT","Apollo Senior Floating Rate Fund Inc.","Financial","Asset Management","USA",178.34,9.71,12.33,0.65%,46398
64,"AFTR","AfterNext HealthTech Acquisition Corp.","Financial","Shell Companies","USA",553.80,20.00,9.84,0.00%,130
65,"AFYA","Afya Limited","Consumer Defensive","Education & Training Services","Brazil",1286.92,20.12,13.82,9.77%,808400
66,"AGCB","Altimeter Growth Corp. 2","Financial","Shell Companies","USA",572.43,4995.00,9.99,0.00%,153539
67,"AGD","Abrdn Global Dynamic Dividend Fund","Financial","Closed-End Fund - Foreign","USA",109.93,2.45,8.76,2.34%,39400
68,"AGFS","AgroFresh Solutions, Inc.","Consumer Defensive","Farm Products","USA",81.15,,1.57,0.64%,14385
69,"AGFY","Agrify Corporation","Industrials","Engineering & Construction","USA",5.04,,1.67,0.60%,5185670
70,"AGGR","Agile Growth Corp.","Financial","Shell Companies","USA",385.17,38.98,9.94,-0.10%,75256
71,"AGIL","AgileThought, Inc.","Technology","Software - Application","USA",223.68,,4.55,0.00%,3715
72,"AGIO","Agios Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",1431.31,,26.96,4.94%,530226
73,"AGMH","AGM Group Holdings Inc.","Technology","Software - Application","Hong Kong",39.39,10.19,1.64,1.23%,1714
74,"AGRI","AgriFORCE Growing Systems Ltd.","Consumer Defensive","Farm Products","Canada",18.47,,1.16,0.00%,180341
75,"AGS","PlayAGS, Inc.","Consumer Cyclical","Gambling","USA",231.19,,6.32,-1.86%,117812
76,"AGX","Argan, Inc.","Industrials","Engineering & Construction","USA",454.82,19.45,33.32,0.54%,59619
77,"AHPI","Allied Healthcare Products, Inc.","Healthcare","Medical Devices","USA",5.37,,1.26,3.28%,28243
78,"AHRN","Ahren Acquisition Corp.","Financial","Shell Companies","Cayman Islands",380.31,,10.12,0.00%,0
79,"AHT","Ashford Hospitality Trust, Inc.","Real Estate","REIT - Hotel & Motel","USA",265.50,,7.93,3.52%,356593
80,"AIF","Apollo Tactical Income Fund Inc.","Financial","Asset Management","USA",175.88,9.57,12.16,0.75%,46158
81,"AIH","Aesthetic Medical International Holdings Group Limited","Healthcare","Medical Care Facilities","China",36.53,,1.22,-11.59%,38651
82,"AIKI","AIkido Pharma Inc.","Healthcare","Biotechnology","USA",32.91,,6.21,-1.43%,22454
83,"AIMD","Ainos, Inc.","Healthcare","Biotechnology","USA",26.93,,1.28,4.92%,22694
84,"AINC","Ashford Inc.","Financial","Asset Management","USA",48.03,,15.80,-3.72%,7034
85,"AIO","Virtus Artificial Intelligence & Technology Opportunities Fund","Financial","Closed-End Fund - Equity","USA",559.76,2.14,16.30,1.87%,115068
86,"AIP","Arteris, Inc.","Technology","Semiconductors","USA",181.97,,5.39,3.85%,83453
87,"AIRG","Airgain, Inc.","Technology","Communication Equipment","USA",76.92,,7.41,0.00%,15273
88,"AIRI","Air Industries Group","Industrials","Aerospace & Defense","USA",18.24,12.18,5.70,6.54%,13619
89,"AIRS","AirSculpt Technologies, Inc.","Healthcare","Medical Care Facilities","USA",346.44,,6.33,3.94%,252752
90,"AIRT","Air T, Inc.","Industrials","Integrated Freight & Logistics","USA",57.01,6.40,20.36,-2.58%,465
91,"AIU","Meta Data Limited","Consumer Defensive","Education & Training Services","China",15.26,,1.04,0.00%,5736
92,"AJX","Great Ajax Corp.","Real Estate","REIT - Mortgage","USA",181.37,26.63,7.99,4.99%,53007
93,"AKIC","Sports Ventures Acquisition Corp.","Financial","Shell Companies","USA",294.10,92.59,10.00,0.00%,200
94,"AKLI","Akili, Inc.","Healthcare","Health Information Services","USA",198.31,,2.31,15.50%,240930
95,"AKTS","Akoustis Technologies, Inc.","Technology","Communication Equipment","USA",160.80,,2.95,16.14%,1397818
96,"AKUS","Akouos, Inc.","Healthcare","Biotechnology","USA",489.74,,13.19,-0.08%,548315
97,"AKYA","Akoya Biosciences, Inc.","Healthcare","Medical Instruments & Supplies","USA",473.69,,12.90,1.26%,78353
98,"ALBO","Albireo Pharma, Inc.","Healthcare","Biotechnology","USA",394.81,,19.93,1.17%,161209
99,"ALCC","AltC Acquisition Corp.","Financial","Shell Companies","USA",625.44,,9.80,-0.31%,4102
100,"ALCO","Alico, Inc.","Consumer Defensive","Farm Products","USA",223.24,6.84,29.49,2.36%,35366
101,"ALDX","Aldeyra Therapeutics, Inc.","Healthcare","Biotechnology","USA",295.73,,5.25,0.96%,361172
102,"ALGS","Aligos Therapeutics, Inc.","Healthcare","Biotechnology","USA",45.35,,1.01,-1.94%,28736
103,"ALIM","Alimera Sciences, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",38.18,,5.37,-1.47%,12880
104,"ALKT","Alkami Technology, Inc.","Technology","Software - Application","USA",1392.26,,15.53,3.67%,247344
105,"ALLT","Allot Ltd.","Technology","Communication Equipment","Israel",140.85,,3.69,0.54%,20776
106,"ALOT","AstroNova, Inc.","Technology","Computer Hardware","USA",89.58,,11.88,1.45%,649
107,"ALPN","Alpine Immune Sciences, Inc.","Healthcare","Biotechnology","USA",257.46,,5.71,4.77%,108406
108,"ALPS","Alpine Summit Energy Partners, Inc.","Energy","Oil & Gas E&P","USA",184.82,,5.47,-0.40%,5353
109,"ALRS","Alerus Financial Corporation","Financial","Banks - Regional","USA",439.31,8.74,22.30,1.00%,25488
110,"ALT","Altimmune, Inc.","Healthcare","Biotechnology","USA",532.74,,11.33,4.62%,1251682
111,"ALTG","Alta Equipment Group Inc.","Industrials","Rental & Leasing Services","USA",363.51,269.55,11.86,3.67%,50171
112,"ALTU","Altitude Acquisition Corp.","Financial","Shell Companies","USA",124.54,35.40,9.95,-0.23%,1149
113,"ALVR","AlloVir, Inc.","Healthcare","Biotechnology","USA",648.19,,6.90,-6.38%,1080683
114,"ALXO","ALX Oncology Holdings Inc.","Healthcare","Biotechnology","USA",476.78,,12.04,3.79%,145719
115,"ALYA","Alithya Group Inc.","Technology","Information Technology Services","Canada",227.02,,1.82,0.84%,3856
116,"ALZN","Alzamend Neuro, Inc.","Healthcare","Biotechnology","USA",109.86,,1.12,4.67%,116357
117,"AMAL","Amalgamated Financial Corp.","Financial","Banks - Regional","USA",714.03,11.43,23.38,-0.13%,125337
118,"AMAM","Ambrx Biopharma Inc.","Healthcare","Biotechnology","USA",40.50,,1.03,0.00%,11175
119,"AMAO","American Acquisition Opportunity Inc.","Financial","Shell Companies","USA",34.97,56.46,10.05,-0.20%,22428
120,"AMBC","Ambac Financial Group, Inc.","Financial","Insurance - Specialty","USA",625.33,128.30,13.60,2.26%,468773
121,"AMCX","AMC Networks Inc.","Communication Services","Broadcasting","USA",957.02,3.11,22.46,2.04%,282683
122,"AMEH","Apollo Medical Holdings, Inc.","Healthcare","Medical Care Facilities","USA",1901.68,21.03,33.67,5.25%,165549
123,"AMK","AssetMark Financial Holdings, Inc.","Financial","Asset Management","USA",1373.36,19.45,19.04,2.70%,28723
124,"AMNB","American National Bankshares Inc.","Financial","Banks - Regional","USA",362.58,9.84,35.27,0.26%,13174
125,"AMOT","Allied Motion Technologies Inc.","Technology","Electronic Components","USA",472.06,32.26,31.20,2.30%,68488
126,"AMPG","AmpliTech Group, Inc.","Technology","Communication Equipment","USA",21.28,,2.41,4.10%,32285
127,"AMPH","Amphastar Pharmaceuticals, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",1378.85,16.67,29.64,-4.02%,229587
128,"AMPL","Amplitude, Inc.","Technology","Software - Application","USA",1802.58,,16.05,7.00%,337862
129,"AMPS","Altus Power, Inc.","Utilities","Utilities - Renewable","USA",1515.82,14.99,9.70,5.66%,1591948
130,"AMPX","Amprius Technologies, Inc.","Industrials","Electrical Equipment & Parts","USA",942.69,,11.20,-3.86%,1823130
131,"AMPY","Amplify Energy Corp.","Energy","Oil & Gas E&P","USA",354.93,124.67,9.35,2.97%,312523
132,"AMRK","A-Mark Precious Metals, Inc.","Financial","Capital Markets","USA",660.38,5.29,28.80,0.28%,192760
133,"AMS","American Shared Hospital Services","Healthcare","Medical Care Facilities","USA",16.17,16.54,2.65,1.93%,388
134,"AMSC","American Superconductor Corporation","Industrials","Specialty Industrial Machinery","USA",121.31,,4.32,2.86%,89354
135,"AMSWA","American Software, Inc.","Technology","Software - Application","USA",534.14,46.32,16.26,2.26%,101957
136,"AMTB","Amerant Bancorp Inc.","Financial","Banks - Regional","USA",938.83,9.82,30.11,2.10%,84057
137,"AMTD","AMTD IDEA Group","Financial","Capital Markets","Hong Kong",392.67,1.61,1.04,2.97%,1155239
138,"AMTX","Aemetis, Inc.","Energy","Oil & Gas Refining & Marketing","USA",248.33,,7.20,4.35%,516280
139,"AMYT","Amryt Pharma plc","Healthcare","Drug Manufacturers - Specialty & Generic","Ireland",625.29,,6.95,-0.43%,21290
140,"ANAB","AnaptysBio, Inc.","Healthcare","Biotechnology","USA",757.95,,28.01,3.17%,248423
141,"ANDE","The Andersons, Inc.","Consumer Defensive","Food Distribution","USA",1166.32,9.20,35.70,1.71%,159189
142,"ANEB","Anebulo Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",49.25,,1.90,2.70%,28895
143,"ANF","Abercrombie & Fitch Co.","Consumer Cyclical","Apparel Retail","USA",877.30,14.86,18.19,4.96%,1423497
144,"ANGH","Anghami Inc.","Communication Services","Entertainment","United Arab Emirates",69.76,,2.58,5.74%,2213
145,"ANGN","Angion Biomedica Corp.","Healthcare","Biotechnology","USA",31.60,,1.06,0.95%,79398
146,"ANGO","AngioDynamics, Inc.","Healthcare","Medical Instruments & Supplies","USA",524.69,,13.16,0.69%,268555
147,"ANIK","Anika Therapeutics, Inc.","Healthcare","Biotechnology","USA",374.82,,26.64,5.01%,69733
148,"ANIP","ANI Pharmaceuticals, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",616.51,,36.61,-0.84%,48661
149,"ANIX","Anixa Biosciences, Inc.","Healthcare","Diagnostics & Research","USA",156.75,,5.26,1.74%,66896
150,"ANNX","Annexon, Inc.","Healthcare","Biotechnology","USA",245.74,,5.11,1.39%,238542
151,"ANTX","AN2 Therapeutics, Inc.","Healthcare","Biotechnology","USA",308.70,,15.71,-3.80%,25121
152,"ANVS","Annovis Bio, Inc.","Healthcare","Biotechnology","USA",100.15,,12.55,5.91%,13981
153,"ANZUU","Anzu Special Acquisition Corp I","Financial","Shell Companies","USA",527.00,38.56,9.91,0.00%,0
154,"AOGO","Arogo Capital Acquisition Corp.","Financial","Shell Companies","USA",133.90,,9.97,-0.10%,24567
155,"AOMR","Angel Oak Mortgage, Inc.","Real Estate","REIT - Mortgage","USA",219.70,,9.76,5.74%,45185
156,"AORT","Artivion, Inc.","Healthcare","Medical Devices","USA",443.43,,10.68,6.69%,357734
157,"AOSL","Alpha and Omega Semiconductor Limited","Technology","Semiconductors","USA",837.27,2.03,32.49,3.74%,227807
158,"AOUT","American Outdoor Brands, Inc.","Consumer Cyclical","Leisure","USA",127.89,,8.90,3.01%,104344
159,"AP","Ampco-Pittsburgh Corporation","Industrials","Metal Fabrication","USA",65.81,,3.54,3.81%,12233
160,"APAC","StoneBridge Acquisition Corporation","Financial","Shell Companies","USA",252.49,14.29,10.12,-0.30%,3410
161,"APCA","AP Acquisition Corp.","Financial","Shell Companies","Hong Kong",219.48,,10.18,0.00%,12
162,"APDN","Applied DNA Sciences, Inc.","Healthcare","Diagnostics & Research","USA",22.28,,1.68,-4.55%,548860
163,"APEI","American Public Education, Inc.","Consumer Defensive","Education & Training Services","USA",223.60,,12.08,3.96%,123680
164,"APEN","Apollo Endosurgery, Inc.","Healthcare","Medical Devices","USA",267.30,,6.41,3.39%,60228
165,"APGN","Apexigen, Inc.","Healthcare","Biotechnology","USA",60.83,,2.88,1.41%,22640
166,"APLD","Applied Blockchain, Inc.","Financial","Capital Markets","USA",212.43,,2.21,6.76%,696950
167,"APN","Apeiron Capital Investment Corp.","Financial","Shell Companies","USA",173.88,31.59,10.11,0.00%,1003
168,"APRN","Blue Apron Holdings, Inc.","Consumer Cyclical","Internet Retail","USA",88.35,,2.53,4.55%,4997069
169,"APT","Alpha Pro Tech, Ltd.","Industrials","Building Products & Equipment","Canada",52.70,15.28,4.14,0.24%,59662
170,"APVO","Aptevo Therapeutics Inc.","Healthcare","Biotechnology","USA",13.45,2.44,2.82,2.55%,23045
171,"APWC","Asia Pacific Wire & Cable Corporation Limited","Industrials","Electrical Equipment & Parts","Taiwan",26.39,,1.28,0.79%,1220
172,"APXI","APx Acquisition Corp. I","Financial","Shell Companies","Mexico",219.06,,10.17,0.10%,1
173,"APXIU","APx Acquisition Corp. I","Financial","Shell Companies","Mexico",218.86,,10.14,0.00%,0
174,"APYX","Apyx Medical Corporation","Healthcare","Medical Devices","USA",145.90,,4.30,0.94%,105631
175,"AQUNU","Aquaron Acquisition Corp.","Financial","Shell Companies","USA",54.46,,10.54,4.03%,359
176,"ARBE","Arbe Robotics Ltd.","Technology","Software - Infrastructure","Israel",304.42,,4.77,-4.98%,41755
177,"ARBK","Argo Blockchain plc","Financial","Capital Markets","United Kingdom",75.19,2.38,1.88,36.23%,712838
178,"ARC","ARC Document Solutions, Inc.","Industrials","Specialty Business Services","USA",98.23,9.41,2.40,4.35%,94579
179,"ARCE","Arco Platform Limited","Consumer Defensive","Education & Training Services","Brazil",623.94,,11.11,2.87%,144796
180,"ARCK","Arbor Rapha Capital Bioholdings Corp. I","Financial","Shell Companies","USA",219.89,,10.18,0.00%,0
181,"ARCKU","Arbor Rapha Capital Bioholdings Corp. I","Financial","Shell Companies","USA",218.87,,10.15,0.00%,0
182,"ARCT","Arcturus Therapeutics Holdings Inc.","Healthcare","Biotechnology","USA",425.92,,16.67,12.18%,403809
183,"ARDC","Ares Dynamic Credit Allocation Fund, Inc.","Financial","Asset Management","USA",262.61,7.07,11.46,0.70%,89697
184,"AREC","American Resources Corporation","Energy","Thermal Coal","USA",150.49,,2.30,-4.17%,1406461
185,"AREN","The Arena Group Holdings, Inc.","Communication Services","Internet Content & Information","USA",239.36,,13.67,1.48%,24636
186,"ARGO","Argo Group International Holdings, Ltd.","Financial","Insurance - Property & Casualty","Bermuda",804.53,,23.49,1.03%,121606
187,"ARHS","Arhaus, Inc.","Consumer Cyclical","Home Improvement Retail","USA",1138.88,21.18,8.47,7.76%,570912
188,"ARIS","Aris Water Solutions, Inc.","Utilities","Utilities - Regulated Water","USA",813.46,,14.75,2.43%,197320
189,"ARKR","Ark Restaurants Corp.","Consumer Cyclical","Restaurants","USA",69.05,4.63,19.73,-0.25%,9841
190,"ARL","American Realty Investors, Inc.","Real Estate","Real Estate - Development","USA",258.81,7.00,17.44,0.69%,10898
191,"ARMP","Armata Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",126.11,,3.50,0.29%,9183
192,"AROW","Arrow Financial Corporation","Financial","Banks - Regional","USA",504.74,10.85,31.35,1.26%,26283
193,"ARQQ","Arqit Quantum Inc.","Technology","Software - Infrastructure","United Kingdom",519.42,,4.26,5.97%,127033
194,"ARQT","Arcutis Biotherapeutics, Inc.","Healthcare","Biotechnology","USA",1013.88,,17.02,2.35%,628193
195,"ARRW","Arrowroot Acquisition Corp.","Financial","Shell Companies","USA",355.57,23.16,9.94,-0.05%,36396
196,"ARTE","Artemis Strategic Investment Corporation","Financial","Shell Companies","USA",250.34,47.38,9.95,-0.90%,623827
197,"ARTL","Artelo Biosciences, Inc.","Healthcare","Biotechnology","USA",8.20,,2.78,0.36%,14861
198,"ARTW","Art's-Way Manufacturing Co., Inc.","Industrials","Farm & Heavy Construction Machinery","USA",9.89,21.87,1.99,-1.97%,10591
199,"ARYD","ARYA Sciences Acquisition Corp IV","Financial","Shell Companies","USA",191.13,,9.96,0.00%,56782
200,"ASA","ASA Gold and Precious Metals Limited","Financial","Asset Management","USA",246.52,13.45,12.78,1.35%,42373
201,"ASC","Ardmore Shipping Corporation","Energy","Oil & Gas Midstream","Bermuda",454.59,,12.53,10.30%,1198600
202,"ASG","Liberty All-Star Growth Fund, Inc.","Financial","Closed-End Fund - Equity","USA",289.99,3.76,5.15,3.41%,131899
203,"ASIX","AdvanSix Inc.","Basic Materials","Chemicals","USA",956.66,5.32,35.59,3.94%,137907
204,"ASLE","AerSale Corporation","Industrials","Airports & Air Services","USA",1024.25,21.40,20.44,-0.49%,117526
205,"ASMB","Assembly Biosciences, Inc.","Healthcare","Biotechnology","USA",78.52,,1.61,0.62%,264357
206,"ASPN","Aspen Aerogels, Inc.","Industrials","Building Products & Equipment","USA",416.81,,10.66,18.58%,618915
207,"ASPS","Altisource Portfolio Solutions S.A.","Financial","Mortgage Finance","Luxembourg",170.81,8.55,11.26,1.30%,121435
208,"ASRT","Assertio Holdings, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",113.65,4.51,2.46,4.24%,547899
209,"ASRV","AmeriServ Financial, Inc.","Financial","Banks - Regional","USA",65.88,8.22,4.01,-1.23%,6448
210,"ASTE","Astec Industries, Inc.","Industrials","Farm & Heavy Construction Machinery","USA",835.04,3857.00,38.57,3.49%,73205
211,"ASTI","Ascent Solar Technologies, Inc.","Technology","Solar","USA",113.96,,3.09,-9.65%,244900
212,"ASTS","AST SpaceMobile, Inc.","Communication Services","Telecom Services","USA",1207.73,,6.31,5.52%,1098392
213,"ASUR","Asure Software, Inc.","Technology","Software - Application","USA",113.50,,5.75,4.36%,155067
214,"ASYS","Amtech Systems, Inc.","Technology","Semiconductor Equipment & Materials","USA",118.40,8.83,8.68,-2.03%,43487
215,"ATAX","America First Multifamily Investors, L.P.","Financial","Mortgage Finance","USA",382.08,6.62,17.73,-1.39%,37462
216,"ATCX","Atlas Technical Consultants, Inc.","Industrials","Engineering & Construction","USA",260.06,,7.22,-2.70%,48197
217,"ATEX","Anterix Inc.","Communication Services","Telecom Services","USA",607.13,,30.96,2.25%,70713
218,"ATHA","Athira Pharma, Inc.","Healthcare","Biotechnology","USA",121.79,,3.40,-4.49%,265428
219,"ATHX","Athersys, Inc.","Healthcare","Biotechnology","USA",23.80,,2.01,-2.90%,372543
220,"ATIF","ATIF Holdings Limited","Financial","Capital Markets","China",13.71,,1.34,-2.19%,3100
221,"ATLC","Atlanticus Holdings Corporation","Financial","Credit Services","USA",390.80,3.59,26.97,9.41%,12332
222,"ATLCP","Atlanticus Holdings Corporation","Financial","Credit Services","USA",369.89,2.69,20.49,6.17%,14003
223,"ATLO","Ames National Corporation","Financial","Banks - Regional","USA",202.09,9.53,22.38,-0.44%,15974
224,"ATNI","ATN International, Inc.","Communication Services","Telecom Services","USA",603.63,,38.62,1.36%,56438
225,"ATNM","Actinium Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",195.86,,7.92,8.64%,411948
226,"ATOM","Atomera Incorporated","Technology","Semiconductor Equipment & Materials","USA",204.87,,9.15,9.71%,198294
227,"ATRC","AtriCure, Inc.","Healthcare","Medical Instruments & Supplies","USA",1786.67,33.88,38.79,5.98%,302091
228,"ATRO","Astronics Corporation","Industrials","Aerospace & Defense","USA",322.98,,8.54,1.43%,113480
229,"ATTO","Atento S.A.","Industrials","Specialty Business Services","Luxembourg",56.37,,3.63,-5.98%,15889
230,"ATXG","Addentax Group Corp.","Industrials","Integrated Freight & Logistics","China",60.02,550.00,2.20,3.29%,413154
231,"ATXI","Avenue Therapeutics, Inc.","Healthcare","Biotechnology","USA",12.99,,2.77,10.80%,1084971
232,"ATXS","Astria Therapeutics, Inc.","Healthcare","Biotechnology","USA",144.05,,9.44,1.72%,48675
233,"ATY","AcuityAds Holdings Inc.","Communication Services","Advertising Agencies","Canada",93.22,53.67,1.61,1.26%,37362
234,"AUBN","Auburn National Bancorporation, Inc.","Financial","Banks - Regional","USA",82.70,10.88,23.56,-2.85%,63
235,"AUDC","AudioCodes Ltd.","Technology","Communication Equipment","Israel",653.76,21.85,20.43,2.92%,49273
236,"AUGX","Augmedix, Inc.","Healthcare","Health Information Services","USA",47.11,,1.32,1.23%,3918
237,"AUID","authID Inc.","Technology","Software - Infrastructure","USA",46.85,,1.37,20.70%,50709
238,"AURA","Aura Biosciences, Inc.","Healthcare","Biotechnology","USA",368.47,,12.75,-0.31%,41373
239,"AUUD","Auddia Inc.","Technology","Software - Application","USA",14.96,,1.15,-1.45%,13217
240,"AUVI","Applied UV, Inc.","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",13.74,,1.07,1.42%,19186
241,"AVAC","Avalon Acquisition Inc.","Financial","Shell Companies","USA",262.64,24.55,10.09,0.50%,250
